date,cloud_cover,sunshine,global_radiation,max_temp,mean_temp,min_temp,precipitation,pressure,snow_depth,rain_tomorrow,sin_doy,cos_doy,sin_woy,cos_woy,precipitation_roll3_mean,precipitation_roll3_std,pressure_roll3_mean,pressure_roll3_std,cloud_cover_roll3_mean,cloud_cover_roll3_std
1984-10-25,5.0,1.9,53.0,12.0,13.2,11.4,0.0,99880.0,0.0,0,-0.9070138128026359,0.4211008707960892,-0.88545602565321,0.464723172043768,2.6999999999999993,4.676537180435921,100603.33333333333,684.1296173484945,6.0,1.0000000000000284
1984-10-26,3.0,4.3,72.0,13.5,8.3,4.6,0.0,101240.0,0.0,1,-0.8996308696522437,0.43665123195606304,-0.88545602565321,0.464723172043768,2.6999999999999993,4.676537180435921,100603.33333333333,684.1296173484945,5.0,2.0000000000000098
1984-10-27,2.0,7.6,94.0,16.3,7.0,0.6,1.0,102160.0,0.0,1,-0.8919813464595483,0.4520722039323045,-0.88545602565321,0.464723172043768,0.33333333333333276,0.5773502691891578,101093.33333333333,1147.0541980801959,3.3333333333333335,1.5275252316519494
1984-10-28,8.0,0.0,24.0,18.4,8.7,1.1,1.3,102010.0,0.0,0,-0.8840675099433636,0.467359217158002,-0.88545602565321,0.464723172043768,0.766666666666666,0.6806859285550209,101803.33333333333,493.59227438586015,4.333333333333333,3.2145502536643225
1984-10-29,7.0,0.3,31.0,18.4,14.8,11.3,0.0,102200.0,0.0,0,-0.8758917051442427,0.48250774176121836,-0.8229838658936566,0.5680647467311555,0.766666666666666,0.6806859285550209,102123.33333333333,100.16652800915375,5.666666666666667,3.214550253664326
1984-10-30,5.0,4.5,69.0,17.6,15.9,13.4,0.0,102080.0,0.0,0,-0.867456354729597,0.49751328890718016,-0.8229838658936566,0.5680647467311555,0.43333333333333274,0.7505553499461564,102096.66666666667,96.09023536972168,6.666666666666667,1.5275252316519685
1984-10-31,5.0,3.8,63.0,18.3,14.8,12.1,0.0,101980.0,0.0,0,-0.858763958275803,0.5123714121284234,-0.8229838658936566,0.5680647467311555,0.0,0.0,102086.66666666667,110.15141094606362,5.666666666666667,1.1547005383792728
1984-11-01,4.0,7.3,85.0,17.3,14.4,10.5,0.0,101380.0,0.0,1,-0.8498170915275282,0.5270777086423715,-0.8229838658936566,0.5680647467311555,0.0,0.0,101813.33333333333,378.59388972011607,4.666666666666667,0.5773502691896528
1984-11-02,5.0,4.1,64.0,11.9,14.2,11.0,7.8,100790.0,0.0,1,-0.8406184056344783,0.541627820655981,-0.8229838658936566,0.5680647467311555,2.599999999999999,4.503332099679031,101383.33333333333,595.0070027599711,4.666666666666667,0.5773502691896528
1984-11-03,3.0,8.1,87.0,11.2,8.8,5.8,0.2,101220.0,0.0,0,-0.8311706263658084,0.5560174366570437,-0.8229838658936566,0.5680647467311555,2.666666666666666,4.446721638840561,101130.0,305.1229260479598,4.0,1.0000000000000098
